Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607977	1590528227609052
2	1	1590528228952758	1590528228953988
4	2	1590528230297491	1590528230298970
8	3	1590528231642527	1590528231643650
16	4	1590528232987196	1590528232988697
32	5	1590528234332211	1590528234333398
64	6	1590528235677265	1590528235678060
128	7	1590528237022073	1590528237022968
1	8	1590528238366900	1590528238367857
2	9	1590528239711747	1590528239712726
4	10	1590528241056614	1590528241057575
8	11	1590528242401486	1590528242402419
16	12	1590528243746392	1590528243747229
32	13	1590528245091132	1590528245092205
64	14	1590528246436112	1590528246436941
128	15	1590528247780857	1590528247781913
1	16	1590528249125687	1590528249126798
2	17	1590528250470484	1590528250471717
4	18	1590528251815402	1590528251816516
8	19	1590528253160278	1590528253161355
16	20	1590528254505077	1590528254506272
32	21	1590528255850132	1590528255850933
64	22	1590528257194839	1590528257195942
128	23	1590528258539816	1590528258540682
1	24	1590528259884504	1590528259885709
2	25	1590528261229555	1590528261230374
4	26	1590528262574393	1590528262575252
8	27	1590528263919277	1590528263920084
16	28	1590528265264078	1590528265264999
32	29	1590528266608842	1590528266609951
64	30	1590528267953735	1590528267954775
128	31	1590528269298433	1590528269299792
1	32	1590528270643217	1590528270644724
2	33	1590528271988366	1590528271989292
4	34	1590528273333164	1590528273334210
8	35	1590528274678047	1590528274679042
16	36	1590528276022872	1590528276023933
32	37	1590528277367874	1590528277368647
64	38	1590528278712535	1590528278713703
128	39	1590528280057520	1590528280058433
1	40	1590528281402355	1590528281403314
2	41	1590528282747112	1590528282748273
4	42	1590528284091969	1590528284093132
8	43	1590528285436655	1590528285438162
16	44	1590528286781843	1590528286782690
32	45	1590528288126604	1590528288127645
64	46	1590528289471561	1590528289472404
128	47	1590528290816294	1590528290817387
1	48	1590528292161115	1590528292162282
2	49	1590528293505901	1590528293507212
4	50	1590528294850717	1590528294852113
8	51	1590528296195642	1590528296196903
16	52	1590528297540729	1590528297541532
32	53	1590528298885468	1590528298886509
64	54	1590528300230289	1590528300231404
128	55	1590528301575005	1590528301576404
1	56	1590528302919982	1590528302921143
