Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227608135	1590528227608895
2	1	1590528228847140	1590528228847899
4	2	1590528230086026	1590528230087023
8	3	1590528231325046	1590528231326013
16	4	1590528232564104	1590528232564966
32	5	1590528233803038	1590528233804041
64	6	1590528235041927	1590528235043162
128	7	1590528236281042	1590528236282057
1	8	1590528237520098	1590528237521011
2	9	1590528238759224	1590528238759896
4	10	1590528239998099	1590528239999030
8	11	1590528241237187	1590528241237952
16	12	1590528242476191	1590528242476958
32	13	1590528243715153	1590528243716006
64	14	1590528244954009	1590528244955160
128	15	1590528246193203	1590528246193976
1	16	1590528247432068	1590528247433121
2	17	1590528248671491	1590528248671708
4	18	1590528249910055	1590528249911154
8	19	1590528251149375	1590528251149844
16	20	1590528252388101	1590528252389128
32	21	1590528253627034	1590528253628206
64	22	1590528254866157	1590528254867092
128	23	1590528256105098	1590528256106162
1	24	1590528257344141	1590528257345128
2	25	1590528258583059	1590528258584220
4	26	1590528259822203	1590528259823086
8	27	1590528261061068	1590528261062232
16	28	1590528262300201	1590528262301109
32	29	1590528263539131	1590528263540188
64	30	1590528264778027	1590528264779302
128	31	1590528266017154	1590528266018185
1	32	1590528267256253	1590528267257096
2	33	1590528268495159	1590528268496200
4	34	1590528269734074	1590528269735295
8	35	1590528270973051	1590528270974328
16	36	1590528272212249	1590528272213140
32	37	1590528273451224	1590528273452176
64	38	1590528274690163	1590528274691246
128	39	1590528275929279	1590528275930140
1	40	1590528277168175	1590528277169254
2	41	1590528278407202	1590528278408237
4	42	1590528279646341	1590528279647108
8	43	1590528280885108	1590528280886351
16	44	1590528282124299	1590528282125170
32	45	1590528283363249	1590528283364230
64	46	1590528284602299	1590528284603190
128	47	1590528285841343	1590528285842156
1	48	1590528287079991	1590528287081518
2	49	1590528288319309	1590528288320210
4	50	1590528289558266	1590528289559263
8	51	1590528290797480	1590528290798060
16	52	1590528292036405	1590528292037144
32	53	1590528293275085	1590528293276474
64	54	1590528294514416	1590528294515153
128	55	1590528295753095	1590528295754484
1	56	1590528296992116	1590528296993473
2	57	1590528298231467	1590528298232132
4	58	1590528299470312	1590528299471298
8	59	1590528300709285	1590528300710334
16	60	1590528301948293	1590528301949337
32	61	1590528303187283	1590528303188356
64	62	1590528304426446	1590528304427203
128	63	1590528305665342	1590528305666317
1	64	1590528306904313	1590528306905356
2	65	1590528308143416	1590528308144263
4	66	1590528309382275	1590528309383414
8	67	1590528310621367	1590528310622332
16	68	1590528311860352	1590528311861357
32	69	1590528313099428	1590528313100291
64	70	1590528314338287	1590528314339442
128	71	1590528315577225	1590528315578514
1	72	1590528316816441	1590528316817309
2	73	1590528318055130	1590528318056629
4	74	1590528319294419	1590528319295350
8	75	1590528320533368	1590528320534412
16	76	1590528321772603	1590528321773186
32	77	1590528323011282	1590528323012517
64	78	1590528324250611	1590528324251198
128	79	1590528325489262	1590528325490557
1	80	1590528326728368	1590528326729461
2	81	1590528327967304	1590528327968535
4	82	1590528329206550	1590528329207299
8	83	1590528330445324	1590528330446536
16	84	1590528331684380	1590528331685489
32	85	1590528332923418	1590528332924462
64	86	1590528334162610	1590528334163279
128	87	1590528335401548	1590528335402351
1	88	1590528336640351	1590528336641558
2	89	1590528337879445	1590528337880474
4	90	1590528339118449	1590528339119480
8	91	1590528340357477	1590528340358462
16	92	1590528341596488	1590528341597461
32	93	1590528342835586	1590528342836373
64	94	1590528344074561	1590528344075408
128	95	1590528345313530	1590528345314450
1	96	1590528346552561	1590528346553428
2	97	1590528347791614	1590528347792385
4	98	1590528349030262	1590528349031747
8	99	1590528350269519	1590528350270500
16	100	1590528351508542	1590528351509487
32	101	1590528352747539	1590528352748500
64	102	1590528353986658	1590528353987391
128	103	1590528355225482	1590528355226578
1	104	1590528356464469	1590528356465600
2	105	1590528357703572	1590528357704507
4	106	1590528358942522	1590528358943567
8	107	1590528360181663	1590528360182436
16	108	1590528361420633	1590528361421476
32	109	1590528362659589	1590528362660531
64	110	1590528363898512	1590528363899618
128	111	1590528365137712	1590528365138427
1	112	1590528366376504	1590528366377646
2	113	1590528367615478	1590528367616682
4	114	1590528368854577	1590528368855593
8	115	1590528370093680	1590528370094500
16	116	1590528371332506	1590528371333684
32	117	1590528372571511	1590528372572688
64	118	1590528373810547	1590528373811662
128	119	1590528375049711	1590528375050509
1	120	1590528376288782	1590528376289448
