Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607436	1590528227609593
2	1	1590528228607411	1590528228609787
4	2	1590528229607637	1590528229609805
8	3	1590528230607421	1590528230610187
16	4	1590528231607803	1590528231609928
32	5	1590528232607292	1590528232610542
64	6	1590528233607720	1590528233610133
128	7	1590528234607590	1590528234610448
1	8	1590528235607687	1590528235610441
2	9	1590528236607869	1590528236610528
4	10	1590528237608142	1590528237610656
8	11	1590528238608234	1590528238610917
16	12	1590528239608364	1590528239611252
32	13	1590528240608782	1590528240610778
64	14	1590528241608555	1590528241611134
128	15	1590528242608712	1590528242611237
1	16	1590528243609212	1590528243611310
2	17	1590528244609108	1590528244611704
4	18	1590528245609436	1590528245611803
8	19	1590528246609261	1590528246612243
16	20	1590528247609670	1590528247612346
32	21	1590528248609761	1590528248612438
64	22	1590528249609855	1590528249612473
128	23	1590528250610149	1590528250612680
1	24	1590528251610406	1590528251613022
2	25	1590528252610630	1590528252613042
4	26	1590528253610361	1590528253613439
8	27	1590528254610931	1590528254613598
16	28	1590528255611002	1590528255613647
32	29	1590528256611072	1590528256614069
64	30	1590528257611644	1590528257613666
128	31	1590528258611418	1590528258613763
1	32	1590528259611462	1590528259614224
2	33	1590528260611554	1590528260614292
4	34	1590528261611794	1590528261614389
8	35	1590528262611864	1590528262614209
16	36	1590528263612004	1590528263614542
32	37	1590528264611990	1590528264614846
64	38	1590528265612324	1590528265615021
128	39	1590528266612418	1590528266615386
1	40	1590528267612992	1590528267615338
2	41	1590528268613043	1590528268615415
4	42	1590528269612489	1590528269615905
8	43	1590528270613160	1590528270615699
16	44	1590528271613249	1590528271615598
32	45	1590528272613175	1590528272616022
64	46	1590528273613385	1590528273615933
128	47	1590528274613458	1590528274616272
1	48	1590528275613810	1590528275616163
2	49	1590528276613963	1590528276616212
4	50	1590528277613979	1590528277616542
8	51	1590528278614227	1590528278616798
16	52	1590528279614469	1590528279616841
32	53	1590528280614613	1590528280617053
64	54	1590528281614612	1590528281617528
128	55	1590528282614785	1590528282617546
1	56	1590528283615063	1590528283617583
2	57	1590528284615129	1590528284617727
4	58	1590528285615422	1590528285618186
8	59	1590528286615763	1590528286618068
16	60	1590528287615766	1590528287618225
32	61	1590528288615811	1590528288618429
64	62	1590528289615836	1590528289618483
128	63	1590528290616228	1590528290618684
1	64	1590528291616403	1590528291619100
2	65	1590528292616345	1590528292619186
4	66	1590528293616573	1590528293619212
8	67	1590528294616298	1590528294619470
16	68	1590528295616435	1590528295619339
32	69	1590528296616637	1590528296619119
64	70	1590528297616743	1590528297619226
128	71	1590528298617015	1590528298619306
1	72	1590528299616908	1590528299619693
2	73	1590528300617209	1590528300619726
4	74	1590528301617399	1590528301619649
8	75	1590528302617289	1590528302620107
16	76	1590528303617548	1590528303620144
32	77	1590528304617747	1590528304620321
64	78	1590528305617779	1590528305620711
128	79	1590528306618186	1590528306620540
1	80	1590528307617813	1590528307620936
2	81	1590528308618045	1590528308620917
4	82	1590528309618348	1590528309620944
8	83	1590528310618706	1590528310620994
16	84	1590528311618844	1590528311621260
32	85	1590528312619162	1590528312621602
64	86	1590528313619114	1590528313621946
128	87	1590528314619527	1590528314621794
1	88	1590528315619760	1590528315622315
2	89	1590528316619938	1590528316622160
4	90	1590528317619776	1590528317622651
8	91	1590528318620051	1590528318622783
16	92	1590528319620244	1590528319622956
32	93	1590528320620584	1590528320622911
64	94	1590528321620587	1590528321623245
128	95	1590528322620806	1590528322623285
1	96	1590528323621063	1590528323623496
2	97	1590528324621313	1590528324623626
4	98	1590528325621042	1590528325624400
8	99	1590528326621326	1590528326624555
16	100	1590528327621982	1590528327624523
32	101	1590528328621868	1590528328625364
64	102	1590528329622435	1590528329625085
128	103	1590528330622514	1590528330625282
1	104	1590528331622919	1590528331625102
2	105	1590528332622773	1590528332625332
4	106	1590528333623064	1590528333625668
8	107	1590528334623281	1590528334625933
16	108	1590528335623519	1590528335626167
32	109	1590528336623663	1590528336626323
64	110	1590528337623330	1590528337626773
