Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607105	1590528227609924
2	1	1590528228607382	1590528228609937
4	2	1590528229607220	1590528229610298
8	3	1590528230607643	1590528230610178
16	4	1590528231607416	1590528231610426
32	5	1590528232607845	1590528232610144
64	6	1590528233608005	1590528233610585
128	7	1590528234608076	1590528234610545
1	8	1590528235608142	1590528235610620
2	9	1590528236607977	1590528236610721
4	10	1590528237608565	1590528237610746
8	11	1590528238608165	1590528238611176
16	12	1590528239608434	1590528239611136
32	13	1590528240608612	1590528240611155
64	14	1590528241608790	1590528241611163
128	15	1590528242608865	1590528242611659
1	16	1590528243609066	1590528243611442
2	17	1590528244608770	1590528244612030
4	18	1590528245609482	1590528245611828
8	19	1590528246609862	1590528246611599
16	20	1590528247609394	1590528247612259
32	21	1590528248609879	1590528248612136
64	22	1590528249609713	1590528249612605
128	23	1590528250610107	1590528250612749
1	24	1590528251610200	1590528251613172
2	25	1590528252610540	1590528252613302
4	26	1590528253611174	1590528253613070
8	27	1590528254610938	1590528254613620
16	28	1590528255611176	1590528255613833
32	29	1590528256611091	1590528256613867
64	30	1590528257610913	1590528257614072
128	31	1590528258611436	1590528258614149
1	32	1590528259611651	1590528259614419
2	33	1590528260611748	1590528260614555
4	34	1590528261612151	1590528261614753
8	35	1590528262612445	1590528262614801
16	36	1590528263612770	1590528263615192
32	37	1590528264612667	1590528264615671
64	38	1590528265613074	1590528265615717
128	39	1590528266613301	1590528266615710
1	40	1590528267613272	1590528267615792
2	41	1590528268613326	1590528268616083
4	42	1590528269613788	1590528269615938
8	43	1590528270613861	1590528270616276
16	44	1590528271613864	1590528271616357
32	45	1590528272614315	1590528272616589
64	46	1590528273614183	1590528273617160
128	47	1590528274614833	1590528274616930
1	48	1590528275614913	1590528275617118
2	49	1590528276614727	1590528276617672
4	50	1590528277614841	1590528277618037
8	51	1590528278614902	1590528278618164
16	52	1590528279615450	1590528279617800
32	53	1590528280615419	1590528280618034
64	54	1590528281615699	1590528281618134
128	55	1590528282615746	1590528282618235
1	56	1590528283615979	1590528283618178
2	57	1590528284615885	1590528284618892
4	58	1590528285616541	1590528285619003
8	59	1590528286616561	1590528286619127
16	60	1590528287616693	1590528287619277
32	61	1590528288617051	1590528288619304
64	62	1590528289617258	1590528289619483
128	63	1590528290616913	1590528290620045
1	64	1590528291617302	1590528291620134
2	65	1590528292617428	1590528292619999
4	66	1590528293617188	1590528293620419
8	67	1590528294618051	1590528294619916
16	68	1590528295617914	1590528295620399
32	69	1590528296617759	1590528296620954
64	70	1590528297618034	1590528297620559
128	71	1590528298618251	1590528298620747
1	72	1590528299618428	1590528299620946
2	73	1590528300618809	1590528300621107
4	74	1590528301618248	1590528301621570
8	75	1590528302618668	1590528302621537
16	76	1590528303618811	1590528303621622
32	77	1590528304618912	1590528304621823
64	78	1590528305619120	1590528305621715
128	79	1590528306619163	1590528306621926
1	80	1590528307619153	1590528307622075
2	81	1590528308619549	1590528308621723
4	82	1590528309619264	1590528309621869
8	83	1590528310619514	1590528310621985
16	84	1590528311619368	1590528311622299
32	85	1590528312619573	1590528312622372
64	86	1590528313619801	1590528313622539
128	87	1590528314620198	1590528314622424
1	88	1590528315620232	1590528315622832
2	89	1590528316620820	1590528316622729
4	90	1590528317620270	1590528317623572
8	91	1590528318620853	1590528318623312
16	92	1590528319620935	1590528319623490
32	93	1590528320621097	1590528320623749
64	94	1590528321621415	1590528321623618
128	95	1590528322621202	1590528322624048
1	96	1590528323621806	1590528323624042
2	97	1590528324621537	1590528324624442
4	98	1590528325622010	1590528325624353
8	99	1590528326621932	1590528326624791
16	100	1590528327622249	1590528327624542
32	101	1590528328622209	1590528328624910
64	102	1590528329622392	1590528329625198
128	103	1590528330622694	1590528330625373
1	104	1590528331622564	1590528331625545
2	105	1590528332623023	1590528332625298
4	106	1590528333622765	1590528333625611
8	107	1590528334623112	1590528334625352
