Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607915	1590528227609114
2	1	1590528228885688	1590528228886544
4	2	1590528230163158	1590528230164275
8	3	1590528231440823	1590528231441813
16	4	1590528232718390	1590528232719447
32	5	1590528233996099	1590528233996940
64	6	1590528235273630	1590528235274612
128	7	1590528236551322	1590528236552122
1	8	1590528237828891	1590528237829754
2	9	1590528239106331	1590528239107516
4	10	1590528240384092	1590528240384958
8	11	1590528241661626	1590528241662625
16	12	1590528242939171	1590528242940282
32	13	1590528244216820	1590528244217835
64	14	1590528245494326	1590528245495532
128	15	1590528246772087	1590528246772972
1	16	1590528248049420	1590528248050841
2	17	1590528249327110	1590528249328353
4	18	1590528250605022	1590528250605643
8	19	1590528251882446	1590528251883421
16	20	1590528253159995	1590528253161074
32	21	1590528254437533	1590528254438738
64	22	1590528255715368	1590528255716105
128	23	1590528256992853	1590528256993822
1	24	1590528258270385	1590528258271493
2	25	1590528259547912	1590528259549167
4	26	1590528260825690	1590528260826592
8	27	1590528262103396	1590528262104087
16	28	1590528263381019	1590528263381666
32	29	1590528264658528	1590528264659359
64	30	1590528265935990	1590528265937099
128	31	1590528267213790	1590528267214501
1	32	1590528268491324	1590528268492170
2	33	1590528269768738	1590528269769957
4	34	1590528271046350	1590528271047547
8	35	1590528272324060	1590528272325040
16	36	1590528273601767	1590528273602535
32	37	1590528274879219	1590528274880284
64	38	1590528276156896	1590528276157809
128	39	1590528277434546	1590528277435361
1	40	1590528278712163	1590528278712946
2	41	1590528279989562	1590528279990749
4	42	1590528281267303	1590528281268210
8	43	1590528282544968	1590528282545747
16	44	1590528283822446	1590528283823471
32	45	1590528285100150	1590528285100969
64	46	1590528286377621	1590528286378700
128	47	1590528287655210	1590528287656314
1	48	1590528288932734	1590528288933991
2	49	1590528290210589	1590528290211338
4	50	1590528291487938	1590528291489191
8	51	1590528292765571	1590528292766760
16	52	1590528294043174	1590528294044359
32	53	1590528295320897	1590528295321839
64	54	1590528296598390	1590528296599547
128	55	1590528297876160	1590528297876979
1	56	1590528299153671	1590528299154670
2	57	1590528300431328	1590528300432215
4	58	1590528301708938	1590528301709807
8	59	1590528302986747	1590528302987200
16	60	1590528304263864	1590528304265285
32	61	1590528305541605	1590528305542746
64	62	1590528306819316	1590528306820237
128	63	1590528308096806	1590528308097949
1	64	1590528309374475	1590528309375482
2	65	1590528310652039	1590528310653120
4	66	1590528311929746	1590528311930615
8	67	1590528313207148	1590528313208415
16	68	1590528314484888	1590528314485877
32	69	1590528315762610	1590528315763358
64	70	1590528317040199	1590528317040971
128	71	1590528318317658	1590528318318713
1	72	1590528319595464	1590528319596109
2	73	1590528320873061	1590528320873714
