Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1799584928117584	1799584928118705
2	1	2079240707259354	2079240707260367
4	2	2358896486401175	2358896486401978
8	3	2638552265542853	2638552265543733
16	4	2918208044684479	2918208044685538
32	5	3197863823826064	3197863823827385
64	6	3477519602967987	3477519602968895
128	7	3757175382109574	3757175382110740
1	8	4036831161251328	4036831161252417
2	9	4316486940393108	4316486940394070
4	10	4596142719534846	4596142719535764
8	11	4875798498676639	4875798498677403
16	12	5155454277818209	5155454277819265
32	13	5435110056959994	5435110056960912
64	14	5714765836101574	5714765836102764
128	15	5994421615243425	5994421615244345
1	16	6274077394385009	6274077394386193
2	17	6553733173526782	6553733173527852
4	18	6833388952668535	6833388952669531
8	19	7113044731810326	7113044731811172
16	20	7392700510951812	7392700510953118
32	21	7672356290093716	7672356290094646
64	22	7952012069235210	7952012069236584
128	23	8231667848377013	8231667848378213
1	24	8511323627518878	8511323627519780
2	25	8790979406660600	8790979406661490
4	26	9070635185802346	9070635185803174
8	27	9350290964944012	9350290964944940
16	28	9629946744085548	9629946744086836
32	29	9909602523227364	9909602523228452
64	30	10189258302369212	10189258302370036
128	31	10468914081510722	10468914081511958
1	32	10748569860652556	10748569860653556
2	33	11028225639794258	11028225639795286
4	34	11307881418935968	11307881418937008
8	35	11587537198077680	11587537198078728
16	36	11867192977219474	11867192977220366
32	37	12146848756361154	12146848756362118
64	38	12426504535502878	12426504535503826
128	39	12706160314644654	12706160314645482
1	40	12985816093786414	12985816093787154
2	41	13265471872927956	13265471872929044
4	42	13545127652069762	13545127652070670
8	43	13824783431211504	13824783431212360
16	44	14104439210353186	14104439210354110
32	45	14384094989494942	14384094989495786
64	46	14663750768636566	14663750768637594
128	47	14943406547778258	14943406547779334
1	48	15223062326920006	15223062326921018
2	49	15502718106061650	15502718106062806
4	50	15782373885203616	15782373885204272
8	51	16062029664345130	16062029664346190
16	52	16341685443486938	16341685443487814
32	53	16621341222628628	16621341222629556
64	54	16900997001770288	16900997001771328
128	55	17180652780911910	17180652780913138
1	56	17460308560053820	17460308560054660
2	57	17739964339195358	17739964339196554
4	58	18019620118337252	18019620118338092
8	59	18299275897478888	18299275897479888
16	60	18578931676620556	18578931676621652
32	61	18858587455762316	18858587455763324
64	62	19138243234903936	19138243234905136
128	63	19417899014045752	19417899014046752
1	64	19697554793187508	19697554793188428
2	65	19977210572329208	19977210572330160
4	66	20256866351470940	20256866351471860
8	67	20536522130612844	20536522130613388
16	68	20816177909754356	20816177909755308
32	69	21095833688895960	21095833688897136
64	70	21375489468037752	21375489468038776
128	71	21655145247179604	21655145247180356
1	72	21934801026321312	21934801026322080
2	73	22214456805462824	22214456805464000
4	74	22494112584604504	22494112584605752
8	75	22773768363746452	22773768363747236
16	76	23053424142888084	23053424142889036
32	77	23333079922029732	23333079922030820
64	78	23612735701171296	23612735701172688
128	79	23892391480313308	23892391480314108
1	80	24172047259454932	24172047259455916
2	81	24451703038596636	24451703038597644
4	82	24731358817738284	24731358817739428
8	83	25011014596880156	25011014596880988
16	84	25290670376021812	25290670376022764
32	85	25570326155163396	25570326155164612
64	86	25849981934305108	25849981934306332
128	87	26129637713446848	26129637713448024
1	88	26409293492588556	26409293492589748
2	89	26688949271730360	26688949271731376
4	90	26968605050872124	26968605050873044
8	91	27248260830013624	27248260830014976
16	92	27527916609155632	27527916609156400
32	93	27807572388297200	27807572388298264
64	94	28087228167438800	28087228167440096
128	95	28366883946580752	28366883946581576
1	96	28646539725722392	28646539725723368
2	97	28926195504864020	28926195504865172
4	98	29205851284005900	29205851284006724
8	99	29485507063147332	29485507063148724
16	100	29765162842289108	29765162842290380
32	101	30044818621430864	30044818621432056
64	102	30324474400572636	30324474400573716
128	103	30604130179714040	30604130179715744
1	104	30883785958855888	30883785958857328
2	105	31163441737997988	31163441737998660
4	106	31443097517139532	31443097517140548
8	107	31722753296281168	31722753296282344
16	108	32002409075423068	32002409075423876
32	109	32282064854564716	32282064854565660
64	110	32561720633706472	32561720633707336
128	111	32841376412848184	32841376412849056
1	112	33121032191989840	33121032191990832
2	113	33400687971131608	33400687971132496
4	114	33680343750273112	33680343750274424
8	115	33959999529414912	33959999529416056
16	116	34239655308556752	34239655308557648
32	117	34519311087698416	34519311087699416
64	118	34798966866840140	34798966866841124
128	119	35078622645981956	35078622645982740
1	120	35358278425123508	35358278425124620
2	121	35637934204265096	35637934204266464
4	122	35917589983407060	35917589983407932
8	123	36197245762548704	36197245762549728
16	124	36476901541690368	36476901541691488
32	125	36756557320832088	36756557320833208
64	126	37036213099973904	37036213099974816
128	127	37315868879115512	37315868879116648
1	128	37595524658257312	37595524658258272
2	129	37875180437398872	37875180437400152
4	130	38154836216540584	38154836216541864
8	131	38434491995682200	38434491995683688
16	132	38714147774823976	38714147774825336
32	133	38993803553965696	38993803553967056
64	134	39273459333107680	39273459333108496
128	135	39553115112249328	39553115112250288
1	136	39832770891391080	39832770891391960
2	137	40112426670532760	40112426670533720
4	138	40392082449674584	40392082449675320
