Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227608090	1590528227608939
2	1	1590528228763082	1590528228763908
4	2	1590528229918215	1590528229918735
8	3	1590528231072772	1590528231074137
16	4	1590528232228089	1590528232228781
32	5	1590528233382924	1590528233383905
64	6	1590528234538068	1590528234538722
128	7	1590528235692753	1590528235693996
1	8	1590528236847948	1590528236848761
2	9	1590528238002921	1590528238003749
4	10	1590528239157835	1590528239158794
8	11	1590528240312738	1590528240313851
16	12	1590528241467848	1590528241468702
32	13	1590528242622790	1590528242623719
64	14	1590528243777881	1590528243778588
128	15	1590528244932739	1590528244933690
1	16	1590528246087767	1590528246088622
2	17	1590528247242772	1590528247243578
4	18	1590528248397645	1590528248398664
8	19	1590528249552730	1590528249553539
16	20	1590528250707399	1590528250708830
32	21	1590528251862648	1590528251863541
64	22	1590528253017501	1590528253018649
128	23	1590528254172625	1590528254173484
1	24	1590528255327510	1590528255328560
2	25	1590528256482578	1590528256483451
4	26	1590528257637426	1590528257638563
8	27	1590528258792374	1590528258793575
16	28	1590528259947471	1590528259948439
32	29	1590528261102394	1590528261103475
64	30	1590528262257450	1590528262258379
128	31	1590528263412563	1590528263413226
1	32	1590528264567237	1590528264568512
2	33	1590528265722212	1590528265723497
4	34	1590528266877306	1590528266878363
8	35	1590528268032112	1590528268033517
16	36	1590528269187253	1590528269188336
32	37	1590528270342388	1590528270343161
64	38	1590528271497325	1590528271498185
128	39	1590528272652217	1590528272653252
1	40	1590528273807329	1590528273808100
2	41	1590528274962071	1590528274963319
4	42	1590528276117080	1590528276118269
8	43	1590528277272234	1590528277273075
16	44	1590528278427005	1590528278428264
32	45	1590528279582077	1590528279583152
64	46	1590528280737035	1590528280738154
128	47	1590528281892086	1590528281893064
1	48	1590528283047094	1590528283048015
2	49	1590528284202285	1590528284202785
4	50	1590528285357042	1590528285357987
8	51	1590528286511976	1590528286513014
16	52	1590528287667070	1590528287667879
32	53	1590528288822072	1590528288822837
64	54	1590528289976770	1590528289978099
128	55	1590528291131936	1590528291132893
1	56	1590528292287014	1590528292287775
